Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$61.55 B,$48.30 B,$62.63 B,$90.94 B,$100.55 B,$66.30 B,$74.18 B,$67.15 B,$41.60 B,$25.07 B,$40.54 B,$29.12 B,$25.95 B,$25.62 B,$23.46 B,$24.49 B,$15.38 B,$10.11 B,$8.26 B,$5.46 B,$4.56 B,$4.33 B,$4.33 B
microsoft,$111.26 B,$104.75 B,$130.33 B,$136.52 B,$133.81 B,$133.76 B,$132.98 B,$113.24 B,$96.52 B,$85.70 B,$77.02 B,$63.04 B,$52.77 B,$36.78 B,$31.44 B,$23.66 B,$23.41 B,$34.16 B,$37.75 B,$60.59 B,$49.04 B,$38.65 B,$31.60 B
saudi-aramco,,$135.21 B,$87.51 B,$57.33 B,$59.61 B,$49.02 B,$23.38 B,$16.21 B,,,,,,,,,,,,,,,
alphabet-google,,$113.76 B,$139.64 B,$136.69 B,$119.67 B,$109.14 B,$101.87 B,$86.33 B,$73.06 B,$64.39 B,$58.71 B,$48.08 B,$44.62 B,$34.97 B,$24.48 B,$15.84 B,$14.21 B,$11.24 B,$8.03 B,$2.13 B,$0.33 B,$0.14 B,
amazon,,$70.02 B,$96.04 B,$84.39 B,$55.02 B,$41.25 B,$30.98 B,$25.98 B,$19.80 B,$17.41 B,$12.44 B,$11.44 B,$9.57 B,$8.76 B,$6.36 B,$3.72 B,$3.11 B,$2.01 B,$2.00 B,$1.77 B,$1.39 B,$1.30 B,$0.99 B
nvidia,$13.29 B,$21.20 B,$11.56 B,$10.89 B,$7.42 B,$7.10 B,$6.79 B,$5.03 B,$4.62 B,$4.67 B,$3.72 B,$3.12 B,$2.49 B,$1.72 B,$1.25 B,$1.80 B,$1.11 B,$0.95 B,$0.67 B,$0.60 B,$1.02 B,$0.79 B,$0.67 B
meta-platforms,,$40.73 B,$47.99 B,$61.95 B,$54.85 B,$41.11 B,$41.71 B,$29.44 B,$18.43 B,$11.19 B,$11.44 B,$9.62 B,$3.90 B,$1.78 B,,,,,,,,,
berkshire-hathaway,,$128.58 B,$146.71 B,$138.29 B,$127.99 B,$111.86 B,$115.95 B,$109.80 B,$97.71 B,$90.66 B,$76.97 B,$78.44 B,$37.29 B,$72.03 B,$30.55 B,$25.53 B,$44.32 B,$43.74 B,$75.51 B,$43.42 B,$35.95 B,$67.69 B,$64.06 B
tesla,,$22.18 B,$17.70 B,$19.38 B,$6.26 B,$3.68 B,$3.36 B,$3.39 B,$1.19 B,$1.90 B,$0.84 B,$0.20 B,$0.28 B,$99.55 M,$69.62 M,$9.27 M,$17.21 M,,,,,,
eli-lilly,,$2.21 B,$3.90 B,$3.68 B,$2.43 B,$7.40 B,$8.03 B,$6.03 B,$4.45 B,$4.82 B,$5.39 B,$5.68 B,$6.89 B,$6.72 B,$4.49 B,$5.92 B,$4.83 B,$3.89 B,$5.03 B,$7.46 B,$3.71 B,$3.65 B,$3.73 B
visa,$20.12 B,$18.52 B,$18.51 B,$20.04 B,$12.07 B,$11.70 B,$13.43 B,$8.93 B,$6.01 B,$3.95 B,$4.25 B,$2.81 B,$3.39 B,$4.05 B,$4.73 B,$5.33 B,$1.02 B,$0.27 B,,,$86 M,,
tsmc,,$51.76 B,$43.56 B,$28.57 B,$19.76 B,$23.36 B,$22.14 B,$19.61 B,$18.45 B,$14.35 B,$8.19 B,$5.21 B,$5.11 B,$6.28 B,$6.12 B,$6.45 B,$5.34 B,$5.98 B,$4.53 B,$4.08 B,$3.63 B,$2.16 B,$1.36 B
united-health,,$27.91 B,$23.90 B,$19.78 B,$14.24 B,$14.32 B,$15.49 B,$13.27 B,$12.91 B,$9.23 B,$9.21 B,$11.43 B,$12.00 B,$11.19 B,$11.03 B,$8.20 B,$9.61 B,$10.94 B,$6.01 B,$4.50 B,$2.74 B,$1.83 B,$1.81 B
jp-morgan-chase,,$567.23 B,$740.83 B,$527.60 B,$263.63 B,$278.79 B,$430.12 B,$389.63 B,$360.50 B,$512.30 B,$355.82 B,$175.53 B,$144.88 B,$49.24 B,$89.43 B,$165.03 B,$51.61 B,$53.95 B,$58.33 B,$56.84 B,$30.44 B,$28.16 B,$35.34 B
novo-nordisk,,$3.39 B,$2.66 B,$2.10 B,$2.32 B,$2.39 B,$3.03 B,$2.93 B,$2.99 B,$2.59 B,$2.67 B,$2.85 B,$3.04 B,$2.86 B,$2.47 B,$1.91 B,$1.44 B,$0.90 B,$0.79 B,$0.72 B,$0.52 B,$0.25 B,$0.44 B
walmart,$8.88 B,$14.76 B,$17.74 B,$9.46 B,$7.72 B,$6.75 B,$6.86 B,$8.70 B,$9.13 B,$7.28 B,$7.78 B,$6.55 B,$7.39 B,$7.90 B,$7.27 B,$5.56 B,$7.37 B,$6.41 B,$5.48 B,$5.19 B,$2.75 B,$2.16 B,$2.05 B
lvmh,,$11.62 B,$11.96 B,$25.47 B,$7.17 B,$6.03 B,$5.10 B,$4.12 B,$4.35 B,$5.28 B,$4.68 B,$3.13 B,$2.98 B,$3.04 B,$3.50 B,$1.41 B,$2.27 B,$1.61 B,$1.73 B,$1.66 B,$1.32 B,$0.93 B,$1.52 B
exxon-mobil,,$29.64 B,$6.80 B,$4.36 B,$3.08 B,$3.04 B,$3.17 B,$3.65 B,$3.70 B,$4.61 B,$4.64 B,$9.58 B,$12.66 B,$7.82 B,$10.86 B,$32.00 B,$34.50 B,$28.24 B,$28.67 B,$18.53 B,$10.62 B,$7.22 B,$6.54 B
mastercard,,$7.40 B,$7.89 B,$10.59 B,$7.67 B,$8.37 B,$7.78 B,$8.33 B,$6.73 B,$6.30 B,$6.29 B,$5.00 B,$4.94 B,$4.19 B,$2.87 B,$2.24 B,$2.96 B,$2.48 B,$1.28 B,$1.13 B,$0.91 B,$0.33 B,$0.17 B
broadcom,,$12.41 B,$12.16 B,$7.61 B,$5.05 B,$4.29 B,$11.20 B,$3.09 B,$1.82 B,$1.60 B,$0.98 B,$1.08 B,$0.82 B,$0.56 B,$0.47 B,$0.21 B,$0.30 B,,,,,,
johnson-and-johnson,,$23.51 B,$31.60 B,$25.18 B,$19.28 B,$19.68 B,$18.29 B,$41.90 B,$38.37 B,$33.08 B,$29.20 B,$21.08 B,$32.26 B,$27.65 B,$19.42 B,$12.80 B,$9.31 B,$4.08 B,$16.13 B,$12.88 B,$9.52 B,$7.47 B,$7.97 B
tencent,,$41.97 B,$41.17 B,$34.93 B,$26.77 B,$24.26 B,$21.89 B,$17.60 B,$12.46 B,$8.64 B,$6.58 B,$4.36 B,$4.18 B,$3.34 B,$0.88 B,$0.70 B,$0.44 B,$0.29 B,$0.24 B,$0.18 B,$39.38 M,,
samsung,,$91.38 B,$104.33 B,$114.73 B,$94.07 B,$90.42 B,$78.02 B,$73.15 B,$60.82 B,$56.43 B,$51.68 B,$36.07 B,$23.18 B,$9.71 B,$10.64 B,$7.88 B,$7.29 B,$6.84 B,$6.00 B,,,,
procter-and-gamble,$8.24 B,$7.21 B,$10.28 B,$16.18 B,$10.28 B,$11.85 B,$15.13 B,$13.34 B,$11.61 B,$10.68 B,$5.94 B,$4.43 B,$2.76 B,$2.87 B,$4.78 B,$3.54 B,$5.55 B,$7.82 B,$8.13 B,$5.89 B,$6.21 B,$3.62 B,$2.51 B
home-depot,$2.75 B,$2.34 B,$7.89 B,$2.13 B,$1.77 B,$3.59 B,$2.53 B,$2.21 B,$1.72 B,$1.92 B,$2.49 B,$1.98 B,$0.54 B,$1.42 B,$0.52 B,$0.45 B,$0.61 B,$0.80 B,$2.16 B,$2.85 B,$2.25 B,$2.54 B,$0.17 B
oracle,$10.18 B,$21.90 B,$46.55 B,$43.05 B,$37.82 B,$67.26 B,$66.07 B,$56.12 B,$54.36 B,$38.81 B,$32.21 B,$30.67 B,$28.84 B,$18.46 B,$12.62 B,$11.04 B,$7.02 B,$7.60 B,$4.80 B,$8.58 B,$6.51 B,$5.84 B,$5.88 B
nestle,,$7.23 B,$15.31 B,$9.76 B,$10.59 B,$10.47 B,$8.82 B,$9.12 B,$5.87 B,$8.98 B,$7.94 B,$10.32 B,$8.51 B,$17.38 B,$5.14 B,$6.83 B,$8.38 B,$9.43 B,$13.21 B,$4.81 B,$6.26 B,$10.45 B,$8.65 B
kweichow-moutai,,$8.44 B,$8.13 B,$5.53 B,$1.89 B,$16.29 B,$13.50 B,$9.62 B,$5.67 B,$4.47 B,$4.16 B,$3.53 B,$2.90 B,$1.94 B,$1.42 B,$1.18 B,$0.64 B,$0.57 B,$0.48 B,$0.35 B,$0.28 B,$0.21 B,$0.23 B
asml,,$7.89 B,$8.59 B,$9.04 B,$5.28 B,$4.61 B,$3.94 B,$4.27 B,$3.72 B,$3.34 B,$4.15 B,$3.56 B,$3.54 B,$2.59 B,$1.48 B,$1.55 B,$1.85 B,$2.18 B,$2.24 B,$1.66 B,$1.29 B,$0.71 B,$0.98 B
adobe,,$6.09 B,$5.79 B,$5.99 B,$4.17 B,$3.22 B,$5.81 B,$4.76 B,$3.98 B,$3.73 B,$3.17 B,$3.53 B,$2.91 B,$2.46 B,$1.90 B,$2.01 B,$1.99 B,$2.28 B,$1.70 B,$1.31 B,$1.09 B,$0.61 B,$0.58 B
chevron,,$17.90 B,$5.67 B,$5.62 B,$5.68 B,$9.34 B,$4.82 B,$7.00 B,$11.02 B,$12.78 B,$16.24 B,$20.93 B,$16.11 B,$14.21 B,$8.82 B,$9.56 B,$8.09 B,$11.44 B,$11.14 B,$10.74 B,$5.26 B,$3.78 B,$3.15 B
costco,$15.23 B,$11.04 B,$12.17 B,$13.30 B,$9.44 B,$7.25 B,$5.77 B,$4.72 B,$6.41 B,$7.31 B,$6.12 B,$4.85 B,$5.61 B,$4.74 B,$3.72 B,$3.27 B,$3.35 B,$2.83 B,$3.45 B,$3.12 B,$1.54 B,$0.80 B,$0.60 B
abbvie,,$9.22 B,$9.83 B,$8.47 B,$39.92 B,$8.06 B,$9.78 B,$6.42 B,$8.40 B,$8.37 B,$9.89 B,$7.97 B,$0.65 B,$10.77 M,,,,,,,,,
merck,,$13.19 B,$8.09 B,$8.06 B,$10.45 B,$8.86 B,$8.49 B,$14.34 B,$13.42 B,$15.71 B,$17.48 B,$16.14 B,$14.97 B,$12.20 B,$9.60 B,$5.48 B,$8.23 B,$8.71 B,$15.63 B,$7.08 B,$4.17 B,$4.97 B,$3.28 B
l-oreal,,$2.82 B,$3.07 B,$7.88 B,$5.94 B,$4.59 B,$3.68 B,$1.89 B,$1.64 B,$2.41 B,$3.60 B,$2.41 B,$2.14 B,$2.06 B,$1.68 B,$1.50 B,$1.58 B,$1.03 B,$0.78 B,$2.68 B,$2.89 B,$1.79 B,
coca-cola,,$11.63 B,$12.62 B,$10.91 B,$11.17 B,$16.11 B,$20.67 B,$22.20 B,$19.90 B,$21.67 B,$20.26 B,$16.55 B,$14.03 B,$11.33 B,$9.21 B,$4.97 B,$4.30 B,$2.59 B,$4.76 B,$6.76 B,$3.48 B,$2.34 B,$1.93 B
toyota,$69.31 B,$70.65 B,$84.45 B,$52.73 B,$52.50 B,$53.82 B,$52.77 B,$48.79 B,$43.46 B,$41.48 B,$34.69 B,$35.48 B,$42.21 B,$43.32 B,$30.15 B,$22.97 B,$20.02 B,$18.75 B,$19.48 B,$21.26 B,$18.73 B,$17.04 B,$16.06 B
bank-of-america,,$237.46 B,$355.36 B,$387.00 B,$168.66 B,$184.89 B,$168.58 B,$157.59 B,$167.09 B,$146.09 B,$142.86 B,$129.44 B,$146.10 B,$134.86 B,$145.54 B,$42.42 B,$54.30 B,$50.38 B,$49.79 B,$41.29 B,$35.13 B,$31.78 B,$32.76 B
salesforce,$12.50 B,$10.53 B,$11.96 B,$7.94 B,$4.34 B,$4.52 B,$2.20 B,$1.34 B,$0.99 B,$0.83 B,$0.86 B,$0.77 B,$0.49 B,$1.24 B,$0.69 B,$0.45 B,$0.25 B,$0.20 B,$0.11 B,$35.81 M,$16 M,,
roche,,$10.57 B,$14.26 B,$13.99 B,$12.24 B,$13.33 B,$12.32 B,$8.93 B,$9.28 B,$11.83 B,$13.45 B,$15.33 B,$12.03 B,$11.66 B,$17.93 B,$19.91 B,$21.37 B,$19.99 B,$15.87 B,$11.39 B,$13.01 B,$17.98 B,$27.90 B
pepsico,,$5.34 B,$5.98 B,$9.55 B,$5.73 B,$8.99 B,$19.51 B,$16.12 B,$12.00 B,$8.72 B,$9.67 B,$6.61 B,$4.42 B,$6.36 B,$4.13 B,$2.27 B,$2.48 B,$2.82 B,$4.88 B,$3.44 B,$2.00 B,$1.84 B,$1.64 B
hermes-international,,$9.87 B,$7.58 B,$5.82 B,$4.91 B,$3.98 B,$3.51 B,$2.45 B,$1.73 B,$1.75 B,$1.45 B,$0.92 B,$1.38 B,$1.15 B,$0.84 B,$0.67 B,$0.77 B,$0.81 B,$0.71 B,$0.84 B,$0.69 B,$0.55 B,$0.48 B
icbc,,,$657.79 B,$750.88 B,$658.25 B,$656.70 B,$722.47 B,$146.54 B,$123.18 B,$141.91 B,$128.85 B,$110.95 B,$82.25 B,$39.18 B,$34.84 B,$25.12 B,$27.38 B,$26.45 B,$85.02 B,$69.92 B,$63.36 B,$55.27 B,
accenture,$9.04 B,$7.89 B,$8.17 B,$8.50 B,$6.13 B,$5.06 B,$4.12 B,$4.90 B,$4.36 B,$4.92 B,$5.63 B,$6.64 B,$5.70 B,$4.84 B,$4.54 B,$3.62 B,$3.54 B,$3.41 B,$2.94 B,$2.83 B,$2.33 B,$1.31 B,$1.88 B
shell,,$40.24 B,$36.97 B,$31.83 B,$18.05 B,$26.74 B,$20.31 B,$19.13 B,$31.75 B,$21.60 B,$9.69 B,$18.55 B,$11.29 B,$13.44 B,$9.71 B,$15.18 B,$9.65 B,$9.00 B,$11.73 B,$9.20 B,$1.95 B,$1.55 B,$6.67 B
mcdonald,,$2.58 B,$4.70 B,$3.44 B,$0.89 B,$0.86 B,$2.46 B,$1.22 B,$7.68 B,$2.07 B,$2.79 B,$2.33 B,$2.33 B,$2.38 B,$1.79 B,$2.06 B,$1.98 B,$2.13 B,$4.26 B,$1.37 B,$0.49 B,$0.33 B,$0.41 B
amd,,$5.85 B,$3.60 B,$2.29 B,$1.50 B,$1.15 B,$1.18 B,$1.26 B,$0.78 B,$1.04 B,$1.09 B,$1.00 B,$1.76 B,$1.78 B,$2.67 B,$1.09 B,$1.88 B,$1.54 B,$1.79 B,$1.19 B,$1.31 B,$1.03 B,$0.86 B
reliance-industries,$27.21 B,$20.16 B,$23.79 B,$15.61 B,$11.88 B,$10.23 B,$9.22 B,$7.58 B,$10.12 B,$11.45 B,$12.15 B,$13.34 B,$9.77 B,$5.47 B,$6.64 B,$6.57 B,$3.89 B,$2.31 B,$2.36 B,,,,
novartis,,$18.93 B,$28.32 B,$11.56 B,$11.44 B,$15.96 B,$9.48 B,$7.77 B,$5.44 B,$13.86 B,$9.22 B,$8.11 B,$5.07 B,$8.13 B,$17.44 B,$6.11 B,$13.20 B,$7.95 B,$10.93 B,$14.59 B,$13.25 B,$12.57 B,$13.18 B
netflix,,$6.05 B,$6.02 B,$8.20 B,$5.01 B,$3.79 B,$2.82 B,$1.73 B,$2.31 B,$1.60 B,$1.20 B,$0.74 B,$0.79 B,$0.35 B,$0.32 B,$0.29 B,$0.38 B,$0.40 B,$0.21 B,$0.17 B,$0.13 B,$0.10 B,$16.13 M
astrazeneca,,$6.40 B,$6.39 B,$7.99 B,$6.21 B,$5.68 B,$4.55 B,$5.90 B,$6.85 B,$7.15 B,$10.01 B,$8.52 B,$11.81 B,$12.55 B,$11.42 B,$4.39 B,$6.04 B,$7.76 B,$6.60 B,$5.26 B,$3.95 B,$4.69 B,$5.46 B
cisco,$26.14 B,$19.26 B,$24.51 B,$29.41 B,$33.41 B,$46.54 B,$70.49 B,$65.75 B,$60.41 B,$52.07 B,$50.61 B,$48.71 B,$44.58 B,$39.86 B,$35.00 B,$26.23 B,$22.26 B,$17.81 B,$6.96 B,$8.66 B,$8.48 B,$12.65 B,$6.90 B
linde,,$5.43 B,$2.82 B,$3.75 B,$2.70 B,$4.46 B,$0.61 B,$0.52 B,$0.14 B,$0.12 B,$0.13 B,$0.15 B,$90 M,$39 M,$45 M,$32 M,$17 M,$36 M,$0.17 B,$25 M,$50 M,$39 M,$39 M
thermo-fisher-scientific,,$8.52 B,$4.47 B,$10.32 B,$2.39 B,$2.10 B,$1.33 B,$0.78 B,$0.45 B,$1.35 B,$5.83 B,$0.85 B,$1.02 B,$0.92 B,$1.57 B,$1.28 B,$0.63 B,$0.69 B,$0.29 B,$0.51 B,$0.41 B,$0.87 B,$1.04 B
sap,,$10.56 B,$13.20 B,$8.54 B,$6.28 B,$10.38 B,$6.00 B,$5.08 B,$3.75 B,$4.87 B,$3.84 B,$3.47 B,$7.49 B,$4.88 B,$3.27 B,$2.31 B,$3.22 B,$4.40 B,$4.04 B,$4.34 B,$1.68 B,$1.23 B,$1.03 B
alibaba,$76.33 B,$71.70 B,$73.57 B,$51.16 B,$30.27 B,$33.46 B,$21.89 B,$17.92 B,$20.33 B,$7.26 B,$5.35 B,$3.54 B,$1.85 B,$1.52 B,$1.06 B,$0.97 B,$0.72 B,$0.19 B,,,,,
pinduoduo,,$21.66 B,$14.58 B,$13.33 B,$5.87 B,$3.16 B,$0.47 B,$0.23 B,,,,,,,,,,,,,,,
abbott-laboratories,,$10.17 B,$10.24 B,$7.14 B,$4.14 B,$4.08 B,$9.61 B,$18.77 B,$6.12 B,$4.46 B,$8.09 B,$15.17 B,$8.09 B,$5.45 B,$9.93 B,$5.07 B,$2.82 B,$1.37 B,$2.95 B,$2.05 B,$1.28 B,$0.96 B,$0.71 B
t-mobile-us,,$4.50 B,$6.63 B,$10.38 B,$1.52 B,$1.20 B,$1.21 B,$5.50 B,$7.58 B,$5.31 B,$5.89 B,$2.61 B,$2.24 B,$1.17 B,$1.15 B,$0.69 B,$1.47 B,$0.55 B,$0.50 B,,$0.25 B,,$42.66 M
intel,,$28.33 B,$28.41 B,$23.89 B,$13.12 B,$11.65 B,$14.00 B,$17.09 B,$25.31 B,$14.05 B,$20.08 B,$18.16 B,$10.24 B,$16.79 B,$9.27 B,$8.68 B,$12.79 B,$10.00 B,$12.77 B,$17.17 B,$16.16 B,$12.58 B,$11.55 B
