Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
Apple,$3.043 T,USA,$195.71,0.74%,37.20%,"👨‍💻 Software, 👩‍💻 Tech, 🔌 Electronics, 🇺🇸 Dow jones, 💻 Tech Hardware"
Microsoft,$2.781 T,USA,$374.23,0.88%,51.27%,"👨‍💻 Software, 👩‍💻 Tech, 🎮 Video games, 🇺🇸 Dow jones, 🦾 AI"
Saudi Aramco,$2.133 T,Saudi Arabia,$8.82,0.15%,16.05%,"🛢 Oil&Gas, ⚡ Energy"
Alphabet (Google),$1.698 T,USA,$136.64,-1.31%,45.44%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech, 🤖 Autonomous driving, 🦾 AI"
Amazon,$1.523 T,USA,$147.42,0.37%,63.17%,"🛒 E-Commerce, 🛍️ Retail, 🖥️ Internet, 👩‍💻 Tech"
NVIDIA,$1.173 T,USA,$475.06,1.95%,176.70%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware, 🤖 Autonomous driving, 🦾 AI"
Meta Platforms (Facebook),$855.12 B,USA,$332.75,1.89%,188.52%,"🖥️ Internet, 👩‍💻 Tech, 🦾 AI"
Berkshire Hathaway,$770.70 B,USA,$353.08,0.11%,15.39%,💰 Investment
Tesla,$775.14 B,USA,$243.84,0.49%,40.59%,"🚗 Automakers, 👩‍💻 Tech, 🔋 Electric Vehicles, ₿ Bitcoin, 🏭 Manufacturing, 🔌​ EV charging, 🤖 Autonomous driving, 🦾 AI"
Eli Lilly,$567.73 B,USA,$598.05,1.66%,60.86%,"💊 Pharmaceuticals, 🧬 Biotech"
Visa,$525.12 B,USA,$255.74,-0.03%,22.31%,"💳 Financial services, 🇺🇸 Dow jones"
TSMC,$520.45 B,Taiwan,$100.35,1.07%,24.20%,"📟 Semiconductors, 👩‍💻 Tech, 🏭 Manufacturing, 💻 Tech Hardware"
UnitedHealth,$508.49 B,USA,$549.77,0.27%,0.34%,"⚕️ Healthcare, 🏦 Insurance, 🇺🇸 Dow jones"
JPMorgan Chase,$458.28 B,USA,$158.52,1.10%,19.30%,"🏦 Banks, 💳 Financial services, 🇺🇸 Dow jones"
Novo Nordisk,$431.00 B,Denmark,$96.64,-0.18%,51.24%,"💊 Pharmaceuticals, 🧬 Biotech"
Walmart,$406.14 B,USA,$150.86,-1.05%,1.40%,"🛍️ Retail, 🇺🇸 Dow jones, 🛒 Supermarket Chains"
LVMH,$398.42 B,France,$797.65,3.28%,5.52%,"👚 Clothing, ⌚ Luxury goods, 🇫🇷 CAC 40"
Exxon Mobil,$397.87 B,USA,$99.55,1.15%,-4.66%,"🛢 Oil&Gas, ⚡ Energy"
Mastercard,$386.51 B,USA,$412.16,-0.24%,17.37%,💳 Financial services
Broadcom,$389.99 B,USA,$944.30,2.39%,77.81%,"📟 Semiconductors, 👩‍💻 Tech"
Johnson & Johnson,$371.73 B,USA,$154.42,-0.63%,-12.86%,"💊 Pharmaceuticals, 🇺🇸 Dow jones, 🧬 Biotech"
Tencent,$371.34 B,China,$38.92,-1.59%,-4.79%,"🖥️ Internet, 👩‍💻 Tech, 🎮 Video games, 🕹️ Esports"
Samsung,$366.75 B,South Korea,$55.30,1.54%,22.75%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 🏭 Manufacturing, 💻 Tech Hardware"
Procter & Gamble,$342.10 B,USA,$145.15,-0.92%,-4.08%,"🛍 Consumer goods, 🇺🇸 Dow jones"
Home Depot,$324.92 B,USA,$326.47,0.09%,0.73%,"🛍️ Retail, 🇺🇸 Dow jones"
Oracle,$311.22 B,USA,$113.61,0.66%,41.89%,"👨‍💻 Software, 👩‍💻 Tech"
Nestlé,$302.88 B,Switzerland,$113.52,0.72%,-2.45%,🍴 Food
Kweichow Moutai,$298.95 B,China,$237.98,0.29%,-1.64%,"🍷 Alcoholic beverages, 🥤 Beverages"
ASML,$274.80 B,Netherlands,$696.43,-0.46%,14.75%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Adobe,$277.73 B,USA,$610.01,0.20%,83.42%,"👨‍💻 Software, 👩‍💻 Tech"
Chevron,$272.42 B,USA,$144.31,1.33%,-16.84%,"🛢 Oil&Gas, 🇺🇸 Dow jones, ⚡ Energy"
Costco,$270.41 B,USA,$610.78,-0.03%,26.87%,"🛍️ Retail, 🛒 Supermarket Chains"
AbbVie,$263.55 B,USA,$149.28,0.89%,-10.07%,"💊 Pharmaceuticals, 🧬 Biotech"
Merck,$262.90 B,USA,$103.75,-0.13%,-6.41%,"💊 Pharmaceuticals, 🇺🇸 Dow jones, 🧬 Biotech"
L'Oréal,$255.04 B,France,$476.96,0.73%,27.80%,"🛍 Consumer goods, 🇫🇷 CAC 40, 💄 Cosmetics and Beauty"
Coca-Cola,$253.39 B,USA,$58.61,-0.22%,-8.15%,"🥤 Beverages, 🇺🇸 Dow jones"
Toyota,$252.74 B,Japan,$187.28,-1.56%,31.63%,"🚗 Automakers, 🏭 Manufacturing"
Bank of America,$245.00 B,USA,$30.96,0.98%,-4.56%,"🏦 Banks, 💳 Financial services"
Salesforce,$242.78 B,USA,$250.81,0.79%,92.74%,"👨‍💻 Software, 👩‍💻 Tech, 🇺🇸 Dow jones"
International Holding Company,$238.64 B,eu United Arab Emirates,$108.79,0.00%,-2.56%,"💰 Investment, 🏙 Conglomerate"
Roche,$233.36 B,Switzerland,$289.34,1.54%,-10.20%,"💊 Pharmaceuticals, 🧬 Biotech"
Pepsico,$227.78 B,USA,$165.68,-1.06%,-9.85%,🥤 Beverages
Hermès,$224.06 B,France,"$2,139",1.48%,34.10%,"⌚ Luxury goods, 🇫🇷 CAC 40"
ICBC,$218.76 B,China,$0.46,-0.27%,-6.12%,"🏦 Banks, 💳 Financial services"
Accenture,$211.82 B,Ireland,$337.23,0.64%,15.43%,💼 Professional services
Shell,$210.08 B,UK,$64.14,1.38%,13.34%,"🛢 Oil&Gas, ⚡ Energy"
McDonald,$207.10 B,USA,$285.53,-0.44%,4.44%,"🍔 Restaurant chains, 🍴 Food, 🇺🇸 Dow jones"
AMD,$208.27 B,USA,$128.92,0.43%,82.94%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Reliance Industries,$199.33 B,India,$29.46,-0.05%,-8.54%,🏙 Conglomerate
Novartis,$198.87 B,Switzerland,$96.30,0.39%,5.15%,"💊 Pharmaceuticals, 🧬 Biotech"
Netflix,$198.60 B,USA,$453.76,0.39%,46.25%,"🖥️ Internet, 👩‍💻 Tech, Entertainment"
AstraZeneca,$196.51 B,UK,$63.25,-0.41%,-8.56%,"💊 Pharmaceuticals, 🧬 Biotech"
Cisco,$196.59 B,USA,$48.38,0.25%,-1.25%,"👩‍💻 Tech, 🔌 Electronics, 📞 Networking hardware, 🇺🇸 Dow jones, 📡 Telecommunications equipment, 💻 Tech Hardware"
Linde,$194.57 B,UK,$401.27,0.66%,19.91%,🧪 Chemicals
Thermo Fisher Scientific,$189.23 B,USA,$489.77,-0.88%,-13.77%,"⚕️ Diagnostics and Testing, 🧬 Biotech, 🔬 Scientific & Technical Instruments"
SAP,$187.33 B,Germany,$160.16,0.51%,48.54%,"👨‍💻 Software, 👩‍💻 Tech, 🇩🇪 DAX"
Alibaba,$183.87 B,China,$72.14,-0.26%,-23.39%,"🛒 E-Commerce, 🛍️ Retail, 🖥️ Internet, 👩‍💻 Tech"
Pinduoduo,$184.62 B,China,$138.96,-0.95%,52.52%,"🛒 E-Commerce, 🖥️ Internet, 👩‍💻 Tech"
Abbott Laboratories,$181.43 B,USA,$104.51,0.44%,-2.25%,Medical devices
T-Mobile US,$180.87 B,USA,$156.40,0.03%,8.75%,📡 Telecommunication
Intel,$180.02 B,USA,$42.70,1.30%,50.14%,"📟 Semiconductors, 👩‍💻 Tech, 🇺🇸 Dow jones, 🏭 Manufacturing, 💻 Tech Hardware"
Nike,$176.40 B,USA,$115.91,0.96%,4.09%,"👚 Clothing, 🎾 Sports goods, 👟 Footwear, 🇺🇸 Dow jones"
China Mobile,$175.16 B,China,$7.99,-0.40%,21.06%,📡 Telecommunication
Agricultural Bank of China,$170.20 B,China,$0.50,0.28%,19.05%,"🏦 Banks, 💳 Financial services"
Walt Disney,$169.89 B,USA,$92.82,0.84%,0.29%,"Entertainment, 🇺🇸 Dow jones"
PetroChina,$168.37 B,China,$0.96,1.33%,29.73%,"🛢 Oil&Gas, ⚡ Energy"
Comcast,$169.45 B,USA,$42.10,-0.17%,20.39%,"📰 Media/Press, 📡 Telecommunication, Entertainment"
Wells Fargo,$167.41 B,USA,$46.10,1.54%,8.27%,"🏦 Banks, 💳 Financial services"
Pfizer,$162.50 B,USA,$28.78,0.52%,-44.42%,"💊 Pharmaceuticals, 🧬 Biotech"
Danaher,$160.70 B,USA,$217.49,-0.65%,-9.75%,🏙 Conglomerate
HDFC Bank,$163.28 B,India,$64.54,1.86%,-5.13%,"🏦 Banks, 💳 Financial services"
Verizon,$160.80 B,USA,$38.25,-1.03%,3.10%,"📡 Telecommunication, 🇺🇸 Dow jones"
Tata Consultancy Services,$159.20 B,India,$43.51,0.33%,6.83%,"💼 Professional services, 🖥️ IT services"
Intuit,$160.65 B,USA,$573.90,0.42%,41.58%,"👨‍💻 Software, 👩‍💻 Tech"
BHP Group,$158.05 B,Australia,$62.46,-0.37%,-1.59%,⛏️ Mining
TotalEnergies,$157.27 B,France,$66.57,1.62%,11.40%,"🛢 Oil&Gas, 🇫🇷 CAC 40, ⚡ Energy"
HSBC,$151.57 B,UK,$39.21,1.00%,29.71%,"🏦 Banks, 💳 Financial services"
QUALCOMM,$147.99 B,USA,$132.97,0.02%,9.22%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
IBM,$147.88 B,USA,$161.96,1.09%,9.60%,"👨‍💻 Software, 👩‍💻 Tech, 🇺🇸 Dow jones, 🦾 AI"
China Construction Bank,$144.90 B,China,$0.89,0.79%,9.88%,"🏦 Banks, 💳 Financial services"
Bank of China,$146.04 B,China,$0.55,-1.25%,22.22%,"🏦 Banks, 💳 Financial services"
Boeing,$148.03 B,USA,$244.70,3.11%,36.64%,"✈️ Aircraft manufacturers, 🚀 Aerospace, 🇺🇸 Dow jones, 🏭 Manufacturing"
Amgen,$144.02 B,USA,$269.12,-0.81%,-5.76%,"💊 Pharmaceuticals, 🇺🇸 Dow jones, 🧬 Biotech"
ServiceNow,$143.34 B,USA,$699.08,1.66%,76.43%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech"
Texas Instruments,$142.61 B,USA,$157.03,-0.41%,-10.96%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Prosus,$141.83 B,Netherlands,$32.46,-0.07%,4.51%,💰 Investment
Philip Morris,$141.75 B,USA,$91.31,0.21%,-10.53%,🚬 Tobacco
Union Pacific Corporation,$140.06 B,USA,$229.77,-0.74%,7.86%,"🚂 Railways, 🚚 Transportation, 🛣️ Infrastructure"
Siemens,$138.85 B,Germany,$175.29,0.57%,26.32%,"👷 Engineering, 🇩🇪 DAX"
Dior,$138.23 B,France,$766.24,3.27%,1.58%,"👚 Clothing, ⌚ Luxury goods"
United Parcel Service,$133.15 B,USA,$156.30,-0.13%,-12.99%,"📦 Courier, 🚚 Transportation"
