Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$111.08 B,$120.06 B,$124.71 B,$112.43 B,$108.04 B,$114.48 B,$115.68 B,$87.03 B,$64.46 B,$35.29 B,$16.96 B,,,,,,,,,,$0.30 B,$0.31 B,$0.31 B
microsoft,$59.96 B,$61.27 B,$67.77 B,$70.99 B,$78.36 B,$81.80 B,$86.19 B,$53.68 B,$35.29 B,$22.64 B,$15.60 B,$11.94 B,$11.92 B,$5.93 B,$5.74 B,,,,,,,,
saudi-aramco,,$104.61 B,$136.24 B,$143.04 B,$46.84 B,$27.00 B,$20.69 B,$13.98 B,,,,,,,,,,,,,,,
alphabet-google,,$27.20 B,$26.20 B,$25.07 B,$14.76 B,$4.01 B,$3.96 B,$3.93 B,$5.22 B,$5.23 B,$5.24 B,$5.53 B,$4.20 B,$3.46 B,,,,,,$1.9 M,$6.6 M,$10.86 M,
amazon,,$140.11 B,$116.39 B,$84.38 B,$63.20 B,$23.49 B,$24.74 B,$7.69 B,$8.23 B,$8.26 B,$3.19 B,$3.08 B,$1.41 B,$0.64 B,$0.10 B,$0.59 B,$1.34 B,$1.26 B,$1.52 B,$1.85 B,$1.94 B,$2.29 B,$2.17 B
nvidia,$11.85 B,$11.68 B,$7.59 B,$2.55 B,$1.98 B,$2.00 B,$2.81 B,$1.51 B,$1.39 B,$1.37 B,$18.99 M,$21.43 M,$23.38 M,$24.45 M,$25.63 M,,,,$0.85 M,$4.87 M,$0.31 B,$0.30 B,$0.30 B
meta-platforms,,$26.59 B,$13.87 B,$10.65 B,$10.32 B,$0.50 B,,$N/A,$0.11 B,$0.23 B,$0.47 B,$2.35 B,$0.67 B,$0.47 B,,,,,,,,,
berkshire-hathaway,,$122.74 B,$114.26 B,$116.89 B,$103.36 B,$97.49 B,$102.58 B,$101.64 B,$84.28 B,$80.20 B,$72.22 B,$62.73 B,$60.38 B,$58.57 B,$37.90 B,$36.88 B,$33.82 B,$32.60 B,$14.45 B,$8.83 B,$9.11 B,$9.28 B,$12.50 B
tesla,,$3.09 B,$6.83 B,$11.73 B,$13.41 B,$11.97 B,$10.31 B,$7.12 B,$2.71 B,$2.48 B,$0.60 B,$0.46 B,$0.28 B,$72.6 M,$1.09 M,$55.75 M,$0.09 M,,,,,,
eli-lilly,,$16.23 B,$16.88 B,$16.59 B,$15.80 B,$10.29 B,$13.64 B,$10.30 B,$7.97 B,$8.05 B,$5.21 B,$5.53 B,$6.98 B,$6.92 B,$6.66 B,$10.46 B,$5.00 B,$3.71 B,$6.49 B,$6.51 B,$4.88 B,$4.90 B,$3.41 B
