Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$114.30 B,$113.96 B,$116.90 B,$74.25 B,$66.15 B,$67.97 B,$64.25 B,$59.21 B,$71.15 B,$59.28 B,$49.25 B,$55.11 B,$43.30 B,$21.48 B,$10.25 B,$6.27 B,$5.21 B,$3.39 B,$1.99 B,$0.72 B,$0.19 B,$35 M,$0.23 B
microsoft,$95.02 B,$82.58 B,$79.68 B,$60.72 B,$49.85 B,$39.92 B,$28.61 B,$20.07 B,$16.12 B,$27.28 B,$28.03 B,$20.02 B,$27.88 B,$27.09 B,$21.84 B,$22.40 B,$24.29 B,$17.41 B,$17.37 B,$14.92 B,$13.24 B,$13.96 B,$9.00 B
saudi-aramco,$247.43 B,$307.36 B,$205.34 B,$99.34 B,$177.79 B,,,,,,,,,,,,,,,,,,
alphabet-google,$78.78 B,$71.68 B,$91.08 B,$48.21 B,$39.72 B,$35.02 B,$27.30 B,$24.27 B,$19.20 B,$16.49 B,$13.96 B,$12.72 B,$11.74 B,$10.38 B,$8.31 B,$6.79 B,$5.67 B,$3.32 B,$2.01 B,$1.14 B,,,
amazon,$26.07 B,-$3.57 B,$39.96 B,$25.82 B,$15.57 B,$12.67 B,$4.65 B,$4.37 B,$2.02 B,$98 M,$0.64 B,$0.63 B,$0.99 B,$1.53 B,$1.19 B,$0.97 B,$0.73 B,$0.45 B,$0.52 B,$0.46 B,$0.16 B,-$2.84 M,-$0.39 B
nvidia,$21.26 B,$6.01 B,$8.77 B,$4.09 B,$2.33 B,$4.70 B,$2.90 B,$1.48 B,$0.76 B,$0.73 B,$0.51 B,$0.58 B,$0.72 B,$0.23 B,-$0.39 B,$0.37 B,$0.71 B,$0.42 B,$0.28 B,$80.25 M,$0.14 B,$0.17 B,$0.19 B
meta-platforms,$37.17 B,$28.94 B,$46.75 B,$32.67 B,$23.98 B,$24.91 B,$20.20 B,$12.44 B,$6.22 B,$4.99 B,$2.81 B,$0.54 B,$1.73 B,,,,,,,,,,
berkshire-hathaway,$100.30 B,-$26.23 B,$115.85 B,$59.77 B,$106.65 B,$7.85 B,$29.23 B,$37.16 B,$38.46 B,$31.35 B,$31.59 B,$24.98 B,$17.97 B,$21.60 B,$13.54 B,$9.53 B,$22.07 B,$18.50 B,$13.51 B,$11.65 B,$12.52 B,$6.88 B,$1.67 B
tesla,$11.89 B,$13.91 B,$6.71 B,$1.90 B,$19.82 M,-$0.35 B,-$1.74 B,-$0.55 B,-$0.76 B,-$0.19 B,-$38.48 M,-$0.4 B,-$0.26 B,-$0.16 B,-$53.19 M,,,,,,,,
eli-lilly,$6.14 B,$6.80 B,$6.15 B,$7.22 B,$5.26 B,$3.79 B,$2.19 B,$3.37 B,$2.79 B,$3.00 B,$5.88 B,$5.40 B,$5.34 B,$6.52 B,$5.35 B,-$1.31 B,$3.87 B,$3.41 B,$2.71 B,$2.94 B,$3.26 B,$3.45 B,$3.55 B
visa,$21.03 B,$18.21 B,$17.21 B,$13.56 B,$15.22 B,$13.19 B,$11.95 B,$8.35 B,$9.37 B,$7.90 B,$7.53 B,$2.39 B,$5.89 B,$4.81 B,$4.25 B,$1.60 B,-$1.03 B,,,,,,
