Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$6.16,$5.92,$6.08,$3.74,$3.19,$3.07,$2.45,$2.10,$2.37,$1.87,$1.45,$1.59,$1.27,$0.65,$0.31,$0.25,$0.17,$0.10,$0.06964,$0.02286,$0.006964,$0.0008930,$0.01054
microsoft,$10.36,$9.02,$9.47,$6.78,$5.80,$4.35,$1.58,$2.42,$1.45,$2.50,$2.73,$1.84,$2.79,$2.39,$1.82,$1.89,$1.79,$1.19,$1.22,$0.92,$0.72,$0.75,$0.56
saudi-aramco,$0.55,$0.65,$0.43,$0.20,$0.54,,,,,,,,,,,,,,,,,,
alphabet-google,$5.25,$4.59,$5.70,$2.96,$2.48,$2.21,$0.92,$1.42,$1.16,$1.07,$0.97,$0.82,$0.75,$0.67,$0.52,$0.34,$0.34,$0.26,$0.13,$0.04483,,,
amazon,$1.96,-$0.27,$3.30,$2.13,$1.17,$1.03,$0.32,$0.25,$0.06400,-$0.02650,$0.02950,-$0.004000,$0.06950,$0.13,$0.10,$0.07600,$0.05750,$0.02300,$0.04350,$0.07250,$0.004500,-$0.01950,-$0.07850
nvidia,$4.17,$2.38,$3.30,$1.55,$0.99,$1.93,$1.10,$0.55,$0.27,$0.26,$0.19,$0.21,$0.27,$0.09500,-$0.16,$0.17,$0.32,$0.18,$0.12,$0.03918,$0.05335,$0.06584,$0.07879
meta-platforms,$11.50,$8.61,$14.00,$10.23,$6.48,$7.66,$5.49,$3.32,$1.31,$1.12,$0.61,-$0.005924,$0.27,,,,,,,,,,
berkshire-hathaway,$39.77,-$10.25,$39.63,$18.11,$33.21,$1.63,$18.22,$9.76,$9.77,$8.06,$7.90,$5.99,$4.14,$5.30,$3.46,$2.15,$5.70,$4.76,$3.69,$3.17,$3.54,$1.86,$0.35
tesla,$3.41,$4.03,$1.85,$0.24,-$0.34,-$0.39,-$0.79,-$0.32,-$0.46,-$0.16,-$0.04067,-$0.25,-$0.17,-$0.42,-$0.02655,,,,,,,,
eli-lilly,$5.43,$6.82,$6.05,$6.70,$8.70,$3.10,-$0.19,$2.57,$2.25,$2.22,$4.30,$3.64,$3.90,$4.58,$3.95,-$1.89,$2.71,$2.45,$1.82,$1.68,$2.38,$2.51,$2.59
visa,$8.30,$7.15,$6.05,$4.85,$5.48,$4.66,$3.03,$2.53,$2.74,$2.23,$1.97,$0.80,$1.31,$1.06,$0.85,$0.29,-$0.33,,,,,,
tsmc,$6.25,$4.16,$3.56,$2.21,$2.22,$2.23,$1.99,$1.85,$1.66,$1.21,$1.10,$0.88,$1.13,$0.54,$0.58,$0.62,$0.73,$0.56,$0.56,$0.29,$0.13,$0.16,
united-health,$23.33,$21.48,$18.32,$16.23,$14.56,$12.46,$10.95,$7.60,$6.10,$5.79,$5.59,$5.38,$4.80,$4.15,$3.27,$2.44,$3.56,$3.09,$2.44,$1.93,$1.40,$1.11,$0.73
jp-morgan-chase,$16.78,$12.12,$15.37,$8.91,$10.75,$9.03,$6.34,$6.25,$6.06,$5.33,$4.36,$5.34,$4.49,$4.00,$2.25,$1.45,$4.37,$4.16,$2.42,$1.57,$3.31,$0.81,$0.83
novo-nordisk,$2.86,$2.17,$1.99,$1.73,$1.51,$1.53,$1.46,$1.11,$1.24,$1.09,$1.05,$1.47,$0.70,$0.56,$0.42,$0.46,$0.28,$0.22,$0.18,$0.17,$0.15,$0.11,$0.12
walmart,$5.22,$3.26,$2.87,$6.97,$5.04,$1.75,$3.78,$4.61,$4.68,$4.90,$5.22,$4.88,$4.74,$4.02,$3.46,$3.45,$3.07,$2.62,$2.56,$2.29,$2.01,$1.71,$1.45
lvmh,$27.07,$11.48,$15.96,$14.46,$12.82,$8.51,$7.77,$13.71,$9.49,$9.07,$8.13,$8.46,$5.32,$5.98,$6.23,$5.26,$3.62,$3.46,$1.86,$1.24,$0.02174,,
exxon-mobil,$10.07,$13.26,$5.39,-$5.25,$3.36,$4.88,$4.63,$1.88,$3.85,$7.60,$7.37,$9.70,$8.43,$6.24,$3.99,$8.70,$7.31,$6.68,$5.76,$3.91,$3.24,$1.69,$2.24
mastercard,$11.52,$10.25,$8.80,$6.39,$7.98,$5.62,$3.65,$3.69,$3.35,$3.11,$2.10,$2.20,$1.49,$1.41,$1.12,-$0.20,$0.80,$0.03600,$0.37,$0.28,-$0.39,,
broadcom,$33.46,$27.37,$15.65,$6.60,$6.77,$29.52,$4.43,-$4.00,$5.17,$1.05,$2.23,$2.30,$2.26,$1.74,-$0.19,,,,,,,,
johnson-and-johnson,$14.09,$6.83,$7.93,$5.59,$6.89,$5.69,$0.46,$5.97,$5.56,$5.80,$4.91,$3.94,$3.54,$4.84,$4.43,$4.62,$3.66,$3.76,$3.38,$2.75,$2.43,$2.20,$1.86
tencent,$2.98,$2.88,$3.66,$2.48,$1.43,$1.26,$1.14,$0.66,$0.49,$0.42,$0.28,$0.22,$0.17,,,,,,,,,,
samsung,$4.02,$6.28,$4.96,$3.30,$2.72,$5.88,$5.37,$2.73,$2.21,$2.90,$3.65,$2.83,$1.58,$1.83,$1.08,$0.72,$1.08,,,,,,
procter-and-gamble,$6.33,$5.86,$5.84,$5.47,$1.83,$4.21,$3.85,$5.71,$3.03,$3.42,$3.91,$4.60,$3.56,$3.87,$4.41,$4.62,$3.50,$2.97,$2.76,$2.50,$2.04,$1.84,$1.10
home-depot,$16.05,$16.65,$15.01,$11.62,$10.10,$9.21,$7.24,$6.21,$5.38,$4.42,$3.74,$2.85,$2.36,$1.86,$1.34,$1.81,$2.41,$2.94,$2.61,$2.21,$1.77,$1.56,$1.20
oracle,$3.47,$3.30,$3.57,$3.37,$3.23,$1.07,$2.40,$2.13,$2.12,$2.44,$2.38,$2.15,$1.84,$1.35,$1.15,$1.12,$0.93,$0.72,$0.56,$0.57,$0.48,$0.37,$0.45
nestle,$6.63,$4.88,$4.44,$3.42,$2.37,$2.71,$2.94,$4.59,$3.54,$3.52,$3.17,$10.87,$2.82,$4.67,$2.46,$1.96,$1.58,$1.49,$1.30,$2.20,$1.94,,
kweichow-moutai,$7.82,$7.40,$6.46,$5.42,$4.74,$4.20,$3.22,$2.00,$1.96,$1.98,$1.97,$1.68,$1.09,$0.60,$0.50,$0.44,$0.30,$0.20,$0.11,$0.07902,$0.05647,$0.03619,
asml,$20.78,$14.77,$16.69,$9.99,$6.88,$7.15,$5.69,$3.78,$3.56,$3.59,$3.16,$3.51,$6.19,$4.00,-$0.60,$1.57,$2.65,$2.18,$1.14,$0.93,-$0.55,-$0.55,-$1.67
adobe,$11.15,$10.13,$10.10,$10.94,$6.07,$5.28,$3.44,$2.35,$1.27,$0.51,$0.57,$1.68,$1.67,$1.48,$0.75,$1.62,$1.24,$0.86,$1.23,$0.94,$0.57,$0.40,$0.43
chevron,$13.52,$18.36,$8.15,-$2.96,$1.55,$7.81,$4.88,-$0.27,$2.46,$10.21,$11.18,$13.42,$13.54,$16.41,$5.26,$11.74,$8.83,$7.84,$6.58,$6.30,$3.49,$0.53,$2.81
costco,$12.61,$9.77,$7.44,$6.32,$5.50,$5.38,$4.85,$4.69,$4.17,$3.37,$3.08,$2.50,$2.95,$2.50,$2.42,$2.28,$1.97,$1.61,$1.58,$1.33,,,
abbvie,$3.68,$6.66,$6.49,$2.88,$5.30,$3.58,$3.32,$3.66,$3.17,$1.11,$2.59,$3.31,$2.12,,,,,,,,,,
merck,$1.82,$5.73,$5.17,$2.80,$3.84,$2.35,$0.94,$2.06,$1.58,$4.16,$1.48,$2.18,$2.04,$0.28,$5.68,$3.63,-$1.04,$2.04,$2.11,$2.64,$2.96,$3.18,$3.18
l-oreal,$11.41,$9.33,$7.84,$7.51,$7.96,$7.68,$5.84,$6.47,$10.35,$6.84,$6.34,$5.33,$5.08,$4.40,$4.63,$6.45,$4.44,$3.70,$3.01,$3.08,$2.34,$1.98,
coca-cola,$2.49,$2.20,$2.26,$2.45,$2.09,$1.50,$0.29,$1.51,$1.69,$1.62,$1.93,$2.00,$1.88,$2.55,$1.47,$1.26,$1.30,$1.08,$1.02,$1.00,$0.88,$0.64,$0.80
toyota,$20.14,$13.38,$19.84,$12.26,$14.12,$11.82,$14.45,$11.34,$12.31,$11.78,$11.66,$6.05,$1.54,$3.62,-$4.24,$3.80,$9.88,$8.49,$7.12,$6.78,$5.33,$3.06,$2.87
bank-of-america,$3.59,$3.20,$3.59,$1.89,$2.78,$2.65,$1.64,$1.58,$1.41,$0.36,$0.94,$0.25,-$0.0000000000,-$0.37,-$0.09000,$0.63,$3.32,$4.66,$4.10,$3.72,$3.64,$3.04,$2.12
salesforce,$1.61,$0.28,$1.85,$3.92,$0.98,$1.10,$0.14,$0.31,-$0.13,-$0.51,-$0.24,-$0.46,$0.007500,$0.14,$0.15,$0.07750,$0.02500,$0.01500,$0.06250,$0.02000,,,
international-holding-company,,,,,,,,,,,,,,,,,,,,,,,
roche,$16.80,$17.93,$18.98,$16.28,$12.49,$10.39,$11.03,$10.55,$11.12,$14.83,$12.18,$11.74,$10.85,$8.77,$10.00,$10.04,$7.59,$5.33,$6.89,$2.96,-$5.41,$4.96,
pepsico,$6.02,$6.45,$5.51,$5.14,$5.23,$8.86,$3.39,$4.39,$3.71,$4.31,$4.38,$3.96,$4.08,$5.87,$3.81,$3.27,$3.49,$3.42,$2.43,$2.47,$2.04,$1.68,$1.35
hermes-international,$26.47,$16.32,$16.42,$15.42,$14.05,$11.08,$10.19,$10.02,$10.48,$9.40,$7.36,$5.33,$3.94,$3.86,$3.96,$3.32,$2.68,$2.63,$2.48,$2.13,$2.00,,
icbc,$0.14,$0.14,$0.15,$0.13,$0.12,$0.12,$0.12,$0.11,$0.12,$0.13,$0.12,$0.11,$0.09340,$0.07290,$0.05569,$0.04711,$0.03131,,,,,,
accenture,$10.90,$11.15,$9.78,$8.27,$7.62,$6.64,$5.76,$6.90,$4.86,$4.78,$5.17,$4.07,$3.69,$2.92,$2.47,$2.92,$2.20,$1.75,$1.63,$1.25,$1.12,$0.65,
shell,$8.50,$11.52,$5.20,-$5.59,$3.92,$5.62,$3.16,$1.16,$0.62,$4.70,$5.22,$8.54,$9.94,$6.54,$4.08,$8.54,$10.00,$7.94,$9.29,,,,
mcdonald,$11.42,$8.42,$10.11,$6.35,$7.98,$7.65,$6.46,$5.53,$4.88,$4.87,$5.60,$5.42,$5.34,$4.66,$4.17,$3.84,$2.01,$2.88,$2.06,$1.82,$1.16,$0.70,$1.27
amd,$0.12,$0.89,$2.61,$2.08,$0.30,$0.34,$0.03000,-$0.61,-$0.84,-$0.53,-$0.11,-$1.59,$0.68,$0.66,$0.45,-$5.15,-$6.05,-$0.34,$0.41,$0.25,-$0.78,-$3.81,-$0.13
reliance-industries,$1.23,$1.18,$1.20,$0.88,$1.01,$0.94,$0.90,$0.73,$0.75,$0.64,,,,,,,,,,,,,
novartis,$3.74,$3.19,$10.72,$3.55,$5.11,$5.43,$3.28,$2.82,$7.39,$4.21,$3.75,$3.85,$3.77,$4.28,$3.71,$3.61,$7.17,$3.09,$2.46,$2.27,$1.99,$1.84,$1.50
netflix,$10.20,$10.10,$11.54,$6.26,$4.27,$2.78,$1.29,$0.44,$0.29,$0.63,$0.27,$0.04429,$0.63,$0.44,$0.29,$0.19,$0.14,$0.11,$0.11,$0.06000,$0.01209,-$0.18,
astrazeneca,$1.98,$1.06,$0.14,$1.22,$0.51,$0.85,$1.18,$1.38,$1.12,$0.49,$1.02,$2.48,$3.66,$2.80,$2.60,$2.10,$1.87,$1.93,$1.45,$24.35,$0.89,$0.82,$0.81
cisco,$3.09,$2.77,$2.70,$2.47,$2.54,$0.37,$1.94,$2.11,$1.89,$1.49,$1.85,$1.56,$1.15,$1.38,$0.99,$1.36,$1.31,$0.98,$0.87,$0.70,$0.58,$0.39,-$0.29
linde,$12.20,$8.30,$7.39,$4.74,$4.23,$13.27,$4.35,$5.26,$5.39,$5.78,$5.94,$5.67,$5.53,$3.89,$4.08,$3.87,$3.70,$3.04,$2.24,$2.14,$1.79,$1.68,$1.33
thermo-fisher-scientific,$15.34,$17.76,$19.61,$16.09,$9.24,$7.30,$5.65,$5.13,$4.95,$4.77,$3.54,$4.00,$3.49,$2.57,$2.07,$2.36,$1.81,$0.96,$1.38,$2.20,$1.23,$1.83,$0.01000
sap,$5.32,$2.07,$5.17,$5.11,$3.11,$3.98,$3.93,$3.31,$2.83,$3.54,$3.75,$3.09,$3.93,$2.00,$2.10,$2.25,$2.26,$1.99,$1.46,$1.35,$1.05,$0.44,$0.67
alibaba,$4.70,$1.84,$4.20,$8.73,$9.44,$3.97,$3.95,$2.30,$4.44,$1.92,,,,,,,,,,,,,
pinduoduo,$4.47,$3.63,$0.98,-$0.87,-$0.87,-$1.43,-$0.08556,,,,,,,,,,,,,,,,
abbott-laboratories,$2.97,$4.29,$3.99,$2.54,$2.09,$1.35,$0.28,$0.95,$2.98,$1.52,$1.66,$3.79,$3.04,$2.98,$3.71,$3.16,$2.33,$1.13,$2.17,$2.08,$1.76,$1.79,$1.01
t-mobile-us,$6.47,$2.07,$2.42,$2.81,$4.07,$3.39,$5.38,$1.72,$0.84,$0.31,$0.0005590,-$27.82,-$26.03,$1.06,$0.98,$0.84,$0.56,$0.07400,$0.61,,,,
intel,-$0.40,$1.97,$4.90,$4.98,$4.78,$4.57,$2.04,$2.17,$2.41,$2.40,$1.93,$2.20,$3.05,$2.06,$0.81,$0.93,$1.20,$0.87,$1.42,$1.17,$0.86,$0.47,$0.19
nike,$3.27,$3.58,$3.90,$1.80,$2.91,$1.37,$2.35,$2.32,$2.80,$1.72,$1.60,$1.13,$1.19,$1.06,$0.76,$0.95,$0.77,$0.34,$0.65,$0.52,$0.38,$0.18,$0.23
china-mobile,$0.87,$0.87,$0.88,$0.24,$0.42,$0.33,$0.26,$0.21,$0.21,$0.18,,,,,,,,,,,,,
agricultural-bank-of-china,$0.10,$0.10,$0.10,$0.08578,$0.08541,$0.09062,$0.08614,$0.08295,$0.08759,$0.08892,$0.08315,$0.07146,$0.05908,$0.04909,,,,,,,,,
