Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$3.043 T,$2.066 T,$2.901 T,$2.255 T,$1.287 T,$746.07 B,$860.88 B,$608.96 B,$583.61 B,$643.12 B,$500.74 B,$499.69 B,$377.51 B,$297.09 B,$190.98 B,$75.99 B,$174.03 B,$72.98 B,$60.79 B,$26.05 B,$7.88 B,$5.16 B,$7.71 B
microsoft,$2.781 T,$1.787 T,$2.522 T,$1.681 T,$1.200 T,$780.36 B,$659.90 B,$483.16 B,$439.67 B,$381.72 B,$310.50 B,$223.66 B,$218.38 B,$234.52 B,$268.55 B,$172.92 B,$332.11 B,$291.94 B,$271.54 B,$290.71 B,$295.29 B,$276.63 B,$358.05 B
saudi-aramco,$2.133 T,$1.881 T,$1.908 T,$2.053 T,$1.880 T,,,,,,,,,,,,,,,,,,
alphabet-google,$1.698 T,$1.145 T,$1.917 T,$1.185 T,$921.13 B,$723.55 B,$729.45 B,$539.06 B,$528.16 B,$359.50 B,,,,,,,,,,,,,
amazon,$1.523 T,$856.94 B,$1.691 T,$1.634 T,$920.22 B,$737.46 B,$563.53 B,$356.31 B,$318.34 B,$144.31 B,$183.04 B,$113.89 B,$78.71 B,$81.18 B,$59.72 B,$21.99 B,$38.53 B,$16.33 B,$19.61 B,$18.14 B,$21.22 B,$7.32 B,$4.03 B
nvidia,$1.173 T,$364.18 B,$735.27 B,$323.24 B,$144.00 B,$81.43 B,$117.26 B,$57.53 B,$17.73 B,$10.89 B,$9.10 B,$7.66 B,$8.46 B,$8.94 B,$10.36 B,$4.33 B,$18.90 B,$13.15 B,$6.25 B,$3.91 B,$2.50 B,$1.20 B,$6.44 B
meta-platforms,$855.12 B,$319.88 B,$921.93 B,$778.23 B,$585.37 B,$374.13 B,$512.75 B,$331.59 B,$296.60 B,$216.73 B,$139.19 B,$63.14 B,,,,,,,,,,,
berkshire-hathaway,$770.70 B,$681.77 B,$669.12 B,$543.67 B,$551.96 B,$502.37 B,$489.24 B,$401.64 B,$325.28 B,$370.66 B,$292.41 B,$220.61 B,$189.21 B,$198.31 B,$153.62 B,$149.56 B,$219.37 B,$169.64 B,$136.38 B,$135.30 B,$129.51 B,$111.63 B,$115.56 B
tesla,$775.14 B,$388.97 B,$1.061 T,$668.90 B,$75.71 B,$57.44 B,$52.32 B,$34.42 B,$31.54 B,$27.95 B,$18.51 B,$3.86 B,$2.97 B,$2.52 B,,,,,,,,,
eli-lilly,$567.73 B,$347.61 B,$264.22 B,$161.50 B,$125.84 B,$122.38 B,$92.99 B,$81.19 B,$93.12 B,$76.62 B,$56.95 B,$56.54 B,$48.11 B,$40.37 B,$41.03 B,$45.78 B,$60.56 B,$58.95 B,$63.95 B,$64.23 B,$79.03 B,$71.27 B,$88.22 B
