Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$62.14 B,$50.67 B,$63.09 B,$65.33 B,$90.48 B,$107.14 B,$134.04 B,$128.24 B,$119.35 B,$111.54 B,$123.54 B,$118.21 B,$76.61 B,$47.79 B,$27.83 B,$21.03 B,$14.53 B,$9.98 B,$7.46 B,$5.07 B,$4.22 B,$4.09 B,$3.92 B
microsoft,$206.22 B,$166.54 B,$141.98 B,$118.30 B,$102.33 B,$82.71 B,$72.39 B,$71.99 B,$80.08 B,$89.78 B,$78.94 B,$66.36 B,$57.08 B,$46.17 B,$39.55 B,$36.28 B,$31.09 B,$40.10 B,$48.11 B,$74.82 B,$61.02 B,$52.18 B,$47.28 B
saudi-aramco,,$443.34 B,$341.51 B,$293.80 B,$279.11 B,$274.13 B,$220.35 B,$196.02 B,,,,,,,,,,,,,,,
alphabet-google,,$256.14 B,$251.63 B,$222.54 B,$201.44 B,$177.62 B,$152.50 B,$139.03 B,$120.33 B,$104.50 B,$87.30 B,$71.71 B,$58.14 B,$46.24 B,$36.00 B,$28.23 B,$22.68 B,$17.03 B,$9.41 B,$2.92 B,$0.58 B,$0.17 B,
amazon,,$146.04 B,$138.24 B,$93.40 B,$62.06 B,$43.54 B,$27.70 B,$19.28 B,$13.38 B,$10.74 B,$9.74 B,$8.19 B,$7.75 B,$6.86 B,$5.25 B,$2.67 B,$1.19 B,$0.43 B,$0.24 B,$-0.23 B,$-1.04 B,$-1.36 B,$-1.44 B
nvidia,$22.10 B,$26.61 B,$16.89 B,$12.20 B,$9.34 B,$7.47 B,$5.76 B,$4.46 B,$4.41 B,$4.45 B,$4.82 B,$4.14 B,$3.18 B,$2.66 B,$2.39 B,$2.61 B,$2.00 B,$1.45 B,$1.17 B,$1.05 B,$0.93 B,$0.76 B,$0.40 B
meta-platforms,,$125.71 B,$124.87 B,$128.29 B,$101.05 B,$84.12 B,$74.34 B,$59.19 B,$44.21 B,$36.09 B,$15.47 B,$11.75 B,$4.89 B,$2.16 B,,,,,,,,,
berkshire-hathaway,,$480.61 B,$514.93 B,$451.33 B,$428.56 B,$352.50 B,$351.95 B,$286.35 B,$258.62 B,$243.02 B,$224.48 B,$191.58 B,$168.96 B,$162.93 B,$135.78 B,$113.57 B,$123.40 B,$110.68 B,$92.30 B,$86.65 B,$78.34 B,$65.42 B,$59.29 B
tesla,,$45.89 B,$31.58 B,$23.67 B,$8.11 B,$6.31 B,$5.63 B,$5.90 B,$1.08 B,$0.91 B,$0.66 B,$0.12 B,$0.22 B,$0.20 B,$-0.26 B,$-0.2 B,$-0.12 B,,,,,,
eli-lilly,,$10.77 B,$9.15 B,$5.82 B,$2.69 B,$10.90 B,$11.66 B,$14.08 B,$14.59 B,$15.38 B,$17.64 B,$14.77 B,$13.53 B,$12.41 B,$9.52 B,$6.73 B,$13.66 B,$10.98 B,$10.79 B,$10.91 B,$9.76 B,$8.27 B,$7.10 B
visa,$38.73 B,$35.58 B,$37.58 B,$36.21 B,$34.68 B,$34.00 B,$32.76 B,$32.91 B,$29.84 B,$27.41 B,$26.87 B,$27.63 B,$26.43 B,$25.01 B,$23.19 B,$21.14 B,$-0.51 B,$0.62 B,,,$-0.44 B,,
tsmc,,$96.59 B,$78.48 B,$65.92 B,$53.93 B,$54.90 B,$51.35 B,$42.84 B,$38.22 B,$34.09 B,$28.25 B,$25.00 B,$21.45 B,$19.92 B,$15.61 B,$14.66 B,$15.13 B,$15.62 B,$14.07 B,$12.69 B,$10.26 B,$9.41 B,$9.12 B
united-health,,$86.34 B,$76.47 B,$70.53 B,$62.16 B,$56.22 B,$52.02 B,$40.40 B,$35.46 B,$33.84 B,$33.32 B,$33.29 B,$28.29 B,$25.82 B,$23.60 B,$20.78 B,$20.06 B,$20.81 B,$17.73 B,$10.71 B,$5.12 B,$4.42 B,$3.89 B
jp-morgan-chase,,$292.33 B,$294.12 B,$279.35 B,$261.33 B,$256.51 B,$255.69 B,$254.19 B,$247.57 B,$232.06 B,$211.17 B,$204.06 B,$183.57 B,$176.10 B,$165.36 B,$166.88 B,$123.22 B,$115.79 B,$149.40 B,$153.71 B,$58.44 B,$42.30 B,$41.64 B
novo-nordisk,,$12.02 B,$10.77 B,$10.46 B,$8.63 B,$7.94 B,$8.03 B,$6.40 B,$6.88 B,$6.58 B,$7.88 B,$7.20 B,$6.52 B,$6.59 B,$6.88 B,$6.20 B,$6.30 B,$5.34 B,$4.36 B,$4.85 B,$4.27 B,$3.30 B,$2.89 B
walmart,$83.99 B,$91.89 B,$87.53 B,$81.55 B,$79.63 B,$80.82 B,$80.53 B,$83.61 B,$85.93 B,$82.83 B,$82.25 B,$76.16 B,$71.65 B,$73.23 B,$65.28 B,$64.60 B,$61.57 B,$53.17 B,$49.39 B,$43.62 B,$39.33 B,$35.10 B,$31.34 B
lvmh,,$60.62 B,$55.38 B,$47.75 B,$42.97 B,$38.84 B,$36.32 B,$29.37 B,$28.20 B,$27.97 B,$38.28 B,$33.95 B,$30.47 B,$24.21 B,$21.18 B,$19.41 B,$18.29 B,$15.32 B,$12.38 B,$12.44 B,$11.04 B,$9.51 B,$9.36 B
