Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$383.28 B,$387.53 B,$378.32 B,$294.13 B,$267.68 B,$261.61 B,$239.17 B,$218.11 B,$234.98 B,$199.80 B,$173.99 B,$164.68 B,$127.84 B,$76.28 B,$42.05 B,$33.03 B,$26.49 B,$20.68 B,$16.19 B,$9.76 B,$6.74 B,$5.83 B,$5.73 B
microsoft,$218.31 B,$204.09 B,$184.90 B,$153.28 B,$134.24 B,$118.45 B,$98.86 B,$85.68 B,$88.08 B,$93.45 B,$83.43 B,$72.93 B,$72.05 B,$66.69 B,$58.68 B,$61.98 B,$57.89 B,$46.05 B,$41.35 B,$38.47 B,$34.26 B,$30.78 B,$26.77 B
saudi-aramco,$502.35 B,$604.17 B,$400.74 B,$229.97 B,$331.19 B,,,,,,,,,,,,,,,,,,
alphabet-google,$297.13 B,$282.83 B,$257.63 B,$182.52 B,$161.85 B,$136.81 B,$110.85 B,$90.27 B,$74.98 B,$66.00 B,$59.82 B,$51.37 B,$37.90 B,$29.32 B,$23.65 B,$21.79 B,$16.59 B,$10.60 B,$6.13 B,$3.18 B,,,
amazon,$554.02 B,$513.98 B,$469.82 B,$386.06 B,$280.52 B,$232.88 B,$177.86 B,$135.98 B,$107.00 B,$88.98 B,$74.45 B,$61.09 B,$48.07 B,$34.20 B,$24.50 B,$19.16 B,$14.83 B,$10.71 B,$8.49 B,$6.92 B,$5.26 B,$3.93 B,$3.12 B
nvidia,$44.87 B,$28.56 B,$24.27 B,$14.77 B,$10.01 B,$12.42 B,$8.97 B,$6.13 B,$4.85 B,$4.57 B,$4.09 B,$4.12 B,$3.93 B,$3.63 B,$2.82 B,$4.14 B,$3.77 B,$2.82 B,$2.30 B,$1.91 B,$1.81 B,$1.93 B,$1.08 B
meta-platforms,$126.95 B,$116.60 B,$117.92 B,$85.96 B,$70.69 B,$55.83 B,$40.65 B,$27.63 B,$17.92 B,$12.46 B,$7.87 B,$5.08 B,$3.71 B,,,,,,,,,,
berkshire-hathaway,$401.77 B,$234.19 B,$354.63 B,$286.25 B,$327.22 B,$225.38 B,$242.13 B,$223.60 B,$210.82 B,$194.67 B,$182.15 B,$162.46 B,$143.68 B,$136.18 B,$112.49 B,$107.78 B,$118.24 B,$98.53 B,$81.66 B,$74.38 B,$63.90 B,$42.04 B,$37.49 B
tesla,$95.92 B,$81.46 B,$53.82 B,$31.53 B,$24.57 B,$21.46 B,$11.75 B,$7.00 B,$4.04 B,$3.19 B,$2.01 B,$0.41 B,$0.20 B,$0.11 B,$0.11 B,,,,,,,,
eli-lilly,$32.07 B,$28.54 B,$28.31 B,$24.53 B,$22.31 B,$24.55 B,$22.87 B,$21.22 B,$19.95 B,$19.61 B,$23.11 B,$22.60 B,$24.28 B,$23.07 B,$21.83 B,$20.37 B,$18.63 B,$15.69 B,$14.64 B,$13.85 B,$12.58 B,$11.07 B,$11.54 B
visa,$32.65 B,$30.18 B,$25.47 B,$21.47 B,$23.52 B,$21.25 B,$18.75 B,$15.97 B,$14.06 B,$12.92 B,$12.08 B,$10.72 B,$9.49 B,$8.34 B,$7.13 B,$6.51 B,$4.23 B,,,,,,
tsmc,$73.86 B,$57.39 B,$47.71 B,$35.57 B,$33.75 B,$32.96 B,$29.22 B,$26.36 B,$24.87 B,$19.90 B,$17.22 B,$14.49 B,$14.44 B,$9.25 B,$10.16 B,$9.94 B,$9.74 B,$8.40 B,$8.19 B,$6.32 B,$5.17 B,$4.14 B,
united-health,$359.98 B,$324.16 B,$287.59 B,$257.14 B,$242.15 B,$226.24 B,$201.15 B,$184.82 B,$157.10 B,$130.47 B,$122.48 B,$110.61 B,$101.56 B,$93.54 B,$87.13 B,$80.41 B,$75.43 B,$70.67 B,$44.86 B,$36.83 B,$28.56 B,$25.02 B,$23.45 B
jp-morgan-chase,$154.07 B,$128.69 B,$121.64 B,$119.60 B,$115.62 B,$109.02 B,$97.68 B,$95.66 B,$93.02 B,$94.20 B,$94.81 B,$97.69 B,$97.23 B,$102.69 B,$100.43 B,$67.25 B,$71.37 B,$61.63 B,$54.53 B,$43.03 B,$33.25 B,$29.61 B,$29.05 B
novo-nordisk,$30.98 B,$25.05 B,$22.01 B,$19.72 B,$18.27 B,$17.62 B,$17.22 B,$16.57 B,$15.99 B,$15.51 B,$14.89 B,$13.62 B,$12.25 B,$10.73 B,$9.65 B,$9.10 B,$7.85 B,$6.62 B,$5.51 B,$4.91 B,$4.23 B,$3.55 B,$3.52 B
walmart,$638.78 B,$600.11 B,$571.96 B,$548.74 B,$521.08 B,$511.87 B,$495.01 B,$484.60 B,$484.02 B,$483.79 B,$474.73 B,$464.41 B,$440.14 B,$419.17 B,$403.67 B,$404.04 B,$370.44 B,$340.49 B,$308.27 B,$280.36 B,$255.07 B,$239.76 B,$212.12 B
lvmh,$84.80 B,$72.72 B,$54.91 B,$60.12 B,$53.56 B,$51.18 B,$39.58 B,$38.99 B,$37.26 B,$40.25 B,$37.17 B,$30.66 B,$27.02 B,$24.43 B,$24.03 B,$24.06 B,$20.23 B,$16.43 B,$17.12 B,$15.06 B,$13.76 B,$13.26 B,
