Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
apple,$352.58 B,$352.75 B,$351.00 B,$323.88 B,$338.51 B,$365.72 B,$375.31 B,$321.68 B,$290.47 B,$231.83 B,$207.00 B,$176.06 B,$116.37 B,$75.18 B,$53.85 B,$39.57 B,$25.34 B,$17.20 B,$11.55 B,$8.05 B,$6.81 B,$6.29 B,$6.02 B
microsoft,$411.97 B,$364.84 B,$333.77 B,$301.31 B,$286.55 B,$258.84 B,$241.08 B,$193.69 B,$176.22 B,$172.38 B,$142.43 B,$121.27 B,$108.70 B,$86.11 B,$77.88 B,$72.79 B,$63.17 B,$69.59 B,$70.81 B,$92.38 B,$79.57 B,$67.64 B,$59.25 B
saudi-aramco,,$663.34 B,$576.72 B,$510.78 B,$398.60 B,$358.83 B,$294.01 B,$250.76 B,,,,,,,,,,,,,,,
alphabet-google,,$365.26 B,$359.26 B,$319.61 B,$275.90 B,$232.79 B,$197.29 B,$167.49 B,$147.46 B,$131.13 B,$110.92 B,$93.79 B,$72.57 B,$57.85 B,$40.49 B,$31.76 B,$25.33 B,$18.47 B,$10.27 B,$3.31 B,$0.87 B,$0.28 B,
amazon,,$462.67 B,$420.54 B,$321.19 B,$225.24 B,$162.64 B,$131.31 B,$83.40 B,$65.44 B,$54.50 B,$40.15 B,$32.55 B,$25.27 B,$18.79 B,$13.81 B,$8.31 B,$6.48 B,$4.36 B,$3.69 B,$3.24 B,$2.16 B,$1.99 B,$1.63 B
nvidia,$41.18 B,$44.18 B,$28.79 B,$17.31 B,$13.29 B,$11.24 B,$9.84 B,$7.37 B,$7.20 B,$7.25 B,$6.41 B,$5.55 B,$4.49 B,$3.58 B,$3.35 B,$3.74 B,$2.67 B,$1.91 B,$1.62 B,$1.39 B,$1.61 B,$1.50 B,$1.01 B
meta-platforms,,$185.72 B,$165.98 B,$159.31 B,$133.37 B,$97.33 B,$84.52 B,$64.96 B,$49.40 B,$40.18 B,$17.89 B,$15.10 B,$6.33 B,$2.99 B,,,,,,,,,
berkshire-hathaway,,$948.45 B,$958.78 B,$873.72 B,$817.72 B,$707.79 B,$702.09 B,$620.85 B,$552.25 B,$526.18 B,$484.93 B,$427.45 B,$392.64 B,$372.22 B,$297.11 B,$267.39 B,$273.16 B,$248.43 B,$198.32 B,$188.87 B,$180.55 B,$169.54 B,$162.75 B
tesla,,$82.33 B,$62.13 B,$52.14 B,$34.30 B,$29.73 B,$28.65 B,$22.66 B,$8.09 B,$5.84 B,$2.41 B,$1.11 B,$0.71 B,$0.38 B,$0.13 B,$51.69 M,$34.83 M,,,,,,
eli-lilly,,$49.48 B,$48.80 B,$46.63 B,$39.28 B,$43.90 B,$44.98 B,$38.80 B,$35.56 B,$37.17 B,$35.24 B,$34.39 B,$33.65 B,$31.00 B,$27.46 B,$29.21 B,$26.78 B,$21.95 B,$24.58 B,$24.86 B,$21.67 B,$19.04 B,$16.43 B
visa,$90.49 B,$85.50 B,$82.89 B,$80.91 B,$72.57 B,$69.22 B,$67.97 B,$64.03 B,$40.23 B,$38.56 B,$35.95 B,$40.01 B,$34.76 B,$33.40 B,$32.28 B,$34.98 B,$4.39 B,$2.96 B,,,$1.90 B,,
